eta,f,fPrime,fDoublePrime
0,0,0,0.332057337164
0.01,1.66028668582e-05,0.00332057334867,0.332057327975
0.02,6.64114660545e-05,0.00664114637574,0.332057263656
0.03,0.000149425790698,0.00996171825425,0.332057089074
0.04,0.00026564582287,0.0132822876059,0.3320567491
0.05,0.000415071528114,0.0166028525012,0.332056188603
0.06,0.000597702849922,0.0199234104591,0.332055352453
0.07,0.000813539704219,0.0232439584476,0.332054185523
0.08,0.00106258197385,0.0265644928832,0.332052632685
0.09,0.00134482950308,0.0298850096312,0.332050638817
0.1,0.00166028209205,0.0332055040057,0.332048148798
0.11,0.00200893949131,0.0365259707696,0.33204510751
0.12,0.00239080139627,0.0398464041347,0.332041459843
0.13,0.0028058674417,0.0431667977615,0.332037150691
0.14,0.00325413719622,0.0464871447599,0.332032124956
0.15,0.00373561015681,0.0498074376884,0.332026327548
0.16,0.00425028574327,0.053127668555,0.332019703388
0.17,0.00479816329272,0.0564478288168,0.332012197408
0.18,0.0053792420541,0.0597679093802,0.332003754551
0.19,0.00599352118267,0.0630879006014,0.331994319778
0.2,0.00664099973449,0.066407792286,0.331983838063
0.21,0.00732167666094,0.0697275736895,0.3319722544
0.22,0.00803555080318,0.0730472335175,0.331959513803
0.23,0.00878262088671,0.0763667599259,0.331945561307
0.24,0.00956288551581,0.0796861405209,0.331930341974
0.25,0.0103763431681,0.0830053623595,0.331913800889
0.26,0.011222992189,0.0863244119499,0.331895883169
0.27,0.0121028307863,0.0896432752513,0.331876533961
0.28,0.0130158570246,0.0929619376747,0.331855698447
0.29,0.0139620688199,0.0962803840832,0.331833321844
0.3,0.0149414639341,0.0995985987921,0.331809349409
0.31,0.0159540399694,0.10291656557,0.331783726443
0.32,0.0169997943632,0.106234267637,0.33175639829
0.33,0.0180787243822,0.109551687669,0.331727310344
0.34,0.0191908271171,0.112868807796,0.331696408048
0.35,0.0203360994772,0.116185609601,0.331663636902
0.36,0.021514538185,0.119502074123,0.331628942463
0.37,0.0227261397705,0.122818181858,0.33159227035
0.38,0.0239709005662,0.126133912757,0.331553566246
0.39,0.0252488167011,0.129449246229,0.331512775904
0.4,0.0265598840957,0.13276416114,0.331469845147
0.41,0.0279040984566,0.136078635817,0.331424719877
0.42,0.0292814552707,0.139392648043,0.331377346074
0.43,0.0306919498002,0.142706175063,0.331327669803
0.44,0.0321355770771,0.146019193584,0.331275637218
0.45,0.0336123318976,0.149331679774,0.331221194563
0.46,0.0351222088171,0.152643609263,0.331164288181
0.47,0.0366652021443,0.155954957147,0.331104864516
0.48,0.0382413059367,0.159265697984,0.331042870115
0.49,0.0398505139941,0.162575805802,0.330978251637
0.5,0.0414928198544,0.165885254093,0.330910955858
0.51,0.0431682167876,0.169194015818,0.330840929669
0.52,0.0448766977905,0.172502063408,0.330768120088
0.53,0.0466182555818,0.175809368765,0.330692474264
0.54,0.0483928825964,0.179115903263,0.330613939476
0.55,0.0502005709805,0.18242163775,0.330532463145
0.56,0.0520413125859,0.185726542546,0.330447992838
0.57,0.0539150989652,0.189030587452,0.33036047627
0.58,0.0558219213664,0.192333741744,0.330269861311
0.59,0.0577617707274,0.195635974177,0.330176095992
0.6,0.0597346376713,0.19893725299,0.330079128512
